classifier;iteration;precision;recall;RC;kappa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;13;0,4;0,013793103;0,831923585;0,019335065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;13;0,5;0,006896552;0,652351916;0,010586255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;13;0,5;0,282758621;0,810452962;0,304918604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;13;0,229166667;0,075862069;0,796488646;0,06164776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;13;0,230769231;0,062068966;0,677210741;0,052797416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;13;0,471698113;0,344827586;0,694431095;0,335462878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;13;0,228915663;0,393103448;0,659074252;0,171972774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;13;0,291497976;0,496551724;0,755223477;0,263224164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;13;0,557692308;0,2;0,806851496;0,250015648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;13;0,285714286;0,013793103;0,831439986;0,016153743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;13;0;0;0,669398054;-0,001538559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;14;0,578947368;0,224489796;0,808032398;0,277937308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;14;0,366666667;0,074829932;0,787951402;0,089416907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;14;0,5;0,020408163;0,740742051;0,030625124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;14;0,519230769;0,183673469;0,793306924;0,225630206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;14;0;0;0,807537226;-0,006022276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;14;0;0;0,682297009;-0,00454012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;14;0,505882353;0,292517007;0,777706056;0,313883009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;14;0,216216216;0,054421769;0,788022141;0,043491199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;14;0,282051282;0,074829932;0,702112734;0,074423044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;14;0,483516484;0,299319728;0,722482581;0,310141259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;14;0,215017065;0,428571429;0,664986619;0,159951306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;14;0,273764259;0,489795918;0,724262842;0,241229763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;14;0,551724138;0,217687075;0,796136479;0,26521612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;14;0,272727273;0,020408163;0,808044188;0,022597418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;14;0,428571429;0,020408163;0,700529952;0,028986969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;15;0,56;0,210526316;0,786864597;0,265015612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;15;0,484848485;0,120300752;0,774117987;0,158625675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;15;0,5625;0,067669173;0,730939528;0,101100105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;15;0,658536585;0,203007519;0,787725725;0,275493939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;15;0,647058824;0,165413534;0,742198445;0,231533825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;15;0,75;0,090225564;0,633905276;0,142271092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;15;0,536585366;0,330827068;0,764812673;0,359427561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;15;0,261904762;0,248120301;0,7345704;0,172660308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;15;0,283464567;0,270676692;0,635081293;0,196834078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;15;0,48;0,360902256;0,689971724;0,35555363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;15;0,23024055;0,503759398;0,696195617;0,20459473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;15;0,250922509;0,511278195;0,74495855;0,23138011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;15;0,652173913;0,22556391;0,770323244;0,29838779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBK;15;0,594594595;0,165413534;0,741661847;0,224360791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Random Forest;15;0,681818182;0,112781955;0,619850909;0,16948392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naive Bayess;16;0,384615385;0,212765957;0,785415605;0,234705733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
