@relation openjpa\Release_21\train
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute N_AUTH numeric
@attribute NR numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FAN_OUT numeric
@attribute METHOD_COMPLEXITY numeric
@attribute IS_BUGGY {'Yes', 'No'}
@data
29,57,28,1,4,29,14.25,29,26,7.25,0,2,No
31,61,30,1,4,31,15.25,31,27,7.75,2,2,No
105,159,54,1,5,121,31.8,153,121,30.6,6,12,No
71,148,77,1,7,76,21.142857142857142,85,76,12.142857142857142,0,9,No
37,74,37,1,4,37,18.5,37,34,9.25,0,1,No
97,153,56,2,2,122,76.5,147,122,73.5,0,19,No
69,137,68,1,5,70,27.4,71,63,14.2,6,6,No
36,36,0,1,2,36,18.0,36,36,18.0,0,1,No
67,89,22,1,5,70,17.8,81,70,16.2,0,6,No
63,63,0,1,2,63,31.5,63,63,31.5,3,6,No
160,160,0,1,2,160,80.0,160,160,80.0,2,14,No
82,153,71,2,5,75,30.6,82,68,16.4,0,4,No
34,34,0,1,2,34,17.0,34,34,17.0,0,1,No
64,125,61,1,4,64,31.25,64,58,16.0,0,6,No
58,58,0,1,2,58,29.0,58,58,29.0,0,4,No
365,365,0,1,2,365,182.5,365,365,182.5,2,50,No
29,29,0,1,2,29,14.5,29,29,14.5,0,1,No
315,637,322,2,5,315,127.4,315,299,63.0,12,9,No
135,135,0,1,2,135,67.5,135,135,67.5,1,9,No
43,43,0,1,2,43,21.5,43,43,21.5,3,4,No
267,288,21,2,5,276,57.6,289,276,57.8,3,10,No
33,34,0,1,2,34,17.0,34,34,17.0,0,1,No
79,155,76,1,4,79,38.75,79,73,19.75,0,4,No
76,89,13,1,3,53,29.666666666666668,76,49,25.333333333333332,3,10,No
139,164,24,2,5,138,32.8,140,138,28.0,5,19,No
38,78,39,1,4,40,19.5,41,35,10.25,0,1,No
79,160,81,2,6,78,26.666666666666668,87,70,14.5,0,3,No
211,215,3,2,4,211,53.75,212,211,53.0,6,21,No
62,122,60,1,4,62,30.5,62,59,15.5,0,8,No
40,42,1,2,3,41,14.0,41,41,13.666666666666666,0,2,No
173,173,0,1,2,173,86.5,173,173,86.5,3,10,No
53,109,55,2,5,52,21.8,54,48,10.8,0,4,No
145,148,3,2,3,144,49.333333333333336,145,144,48.333333333333336,4,7,No
2218,4434,2216,3,9,2199,492.6666666666667,2324,2084,258.22222222222223,78,171,No
45,61,16,1,5,46,12.2,55,46,11.0,0,3,No
69,69,0,1,2,69,34.5,69,69,34.5,1,9,No
253,496,243,1,4,253,124.0,253,240,63.25,3,8,No
41,63,22,1,5,40,12.6,49,40,9.8,0,3,No
271,572,301,1,6,281,95.33333333333333,291,255,48.5,9,19,No
701,1050,349,1,9,763,116.66666666666667,887,763,98.55555555555556,40,60,No
30,60,29,1,4,31,15.0,31,27,7.75,0,2,No
243,244,1,2,4,233,61.0,243,233,60.75,0,26,No
606,608,2,1,3,608,202.66666666666666,610,608,203.33333333333334,31,75,No
54,103,48,2,5,49,20.6,55,45,11.0,0,3,No
159,226,67,2,8,152,28.25,195,152,24.375,11,18,No
107,137,30,1,5,109,27.4,123,109,24.6,2,19,No
189,191,1,2,3,151,63.666666666666664,190,151,63.333333333333336,1,32,No
35,69,34,1,4,35,17.25,35,32,8.75,0,1,No
534,537,3,1,3,536,179.0,538,536,179.33333333333334,30,58,No
76,118,42,1,5,83,23.6,102,83,20.4,4,4,No
42,86,44,1,4,43,21.5,44,39,11.0,0,2,No
70,143,72,1,4,72,35.75,73,67,18.25,0,0,No
1523,1523,0,1,2,1523,761.5,1523,1523,761.5,31,103,No
36,72,36,1,4,36,18.0,36,32,9.0,0,2,No
46,90,44,1,4,46,22.5,46,41,11.5,1,3,No
242,490,248,2,7,248,70.0,254,226,36.285714285714285,15,20,No
159,190,30,2,5,158,38.0,162,158,32.4,9,24,No
34,67,33,1,4,34,16.75,34,31,8.5,0,3,No
44,49,4,2,3,49,16.333333333333332,53,49,17.666666666666668,0,2,No
230,241,10,2,3,234,80.33333333333333,237,234,79.0,13,21,No
91,179,88,1,4,91,44.75,91,87,22.75,1,10,No
50,75,25,1,5,50,15.0,58,50,11.6,0,7,Yes
112,112,0,1,3,103,37.333333333333336,112,103,37.333333333333336,5,10,No
38,58,20,1,5,37,11.6,46,37,9.2,2,2,Yes
126,251,125,1,4,126,62.75,126,121,31.5,0,9,No
196,386,190,2,5,193,77.2,196,188,39.2,6,39,Yes
37,88,51,1,5,43,17.6,49,39,9.8,0,3,No
72,83,11,2,4,73,20.75,74,73,18.5,0,8,No
53,53,0,1,2,53,26.5,53,53,26.5,0,5,Yes
30,57,27,2,5,26,11.4,30,23,6.0,0,2,No
430,432,2,1,3,432,144.0,434,432,144.66666666666666,17,42,No
360,373,13,2,3,369,124.33333333333333,378,369,126.0,10,37,No
68,70,2,2,3,69,23.333333333333332,70,69,23.333333333333332,2,9,No
449,480,31,3,7,450,68.57142857142857,465,450,66.42857142857143,89,77,No
54,117,63,2,5,56,23.4,58,52,11.6,0,5,No
34,34,0,1,2,34,17.0,34,34,17.0,0,1,No
707,707,0,1,2,707,353.5,707,707,353.5,12,73,No
158,322,164,1,5,162,64.4,166,146,33.2,5,6,No
48,100,52,1,5,48,20.0,48,45,9.6,0,4,No
82,82,0,1,2,82,41.0,82,82,41.0,0,8,No
455,466,11,2,3,457,155.33333333333334,459,457,153.0,7,32,No
43,43,0,1,2,43,21.5,43,43,21.5,1,3,No
45,90,45,1,4,45,22.5,45,42,11.25,0,5,No
329,516,187,1,5,355,103.2,389,355,77.8,0,31,No
70,145,75,1,4,70,36.25,70,66,17.5,0,10,No
344,394,50,2,9,352,43.77777777777778,370,352,41.111111111111114,11,12,No
79,94,15,2,4,79,23.5,79,79,19.75,0,8,No
348,702,354,2,6,357,117.0,366,328,61.0,17,44,Yes
