Version,File Name,LOC,LOC_added,LOC_deleted,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,Fan_Out,Method_Number,Buggy
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Version.java,365,365,0,1,2,365,182.5,365,365,182.5,2,50,No
0,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/ForeignKeyAction.java,29,29,0,1,2,29,14.5,29,29,14.5,0,1,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractPCData.java,315,637,322,2,5,315,127.4,315,299,63.0,12,9,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/RefreshStrategyInstaller.java,135,135,0,1,2,135,67.5,135,135,67.5,1,9,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLFactory.java,43,43,0,1,2,43,21.5,43,43,21.5,3,4,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationToManyTableFieldStrategy.java,267,288,21,2,5,276,57.6,289,276,57.8,3,10,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java,33,34,0,1,2,34,17.0,34,34,17.0,0,1,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/InheritanceComparator.java,79,155,76,1,4,79,38.75,79,73,19.75,0,4,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/util/StoreFacadeTypeRegistry.java,76,89,13,1,3,53,29.666666666666668,76,49,25.333333333333332,3,10,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringFunction.java,139,164,24,2,5,138,32.8,140,138,28.0,5,19,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/LessThanEqualExpression.java,38,78,39,1,4,40,19.5,41,35,10.25,0,1,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Exp.java,79,160,81,2,6,78,26.666666666666668,87,70,14.5,0,3,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,211,215,3,2,4,211,53.75,212,211,53.0,6,21,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/util/LongId.java,62,122,60,1,4,62,30.5,62,59,15.5,0,8,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Min.java,40,42,1,2,3,41,14.0,41,41,13.666666666666666,0,2,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo.java,173,173,0,1,2,173,86.5,173,173,86.5,3,10,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/ValuePath.java,53,109,55,2,5,52,21.8,54,48,10.8,0,4,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/InValueDiscriminatorStrategy.java,145,148,3,2,3,144,49.333333333333336,145,144,48.333333333333336,4,7,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,2218,4434,2216,3,9,2199,492.6666666666667,2324,2084,258.22222222222223,78,171,No
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/NanoTimer.java,45,61,16,1,5,46,12.2,55,46,11.0,0,3,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java,69,69,0,1,2,69,34.5,69,69,34.5,1,9,No
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataDefaults.java,253,496,243,1,4,253,124.0,253,240,63.25,3,8,No
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentMap.java,41,63,22,1,5,40,12.6,49,40,9.8,0,3,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/event/JMSRemoteCommitProvider.java,271,572,301,1,6,281,95.33333333333333,291,255,48.5,9,19,No
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/FormatPreservingProperties.java,701,1050,349,1,9,763,116.66666666666667,887,763,98.55555555555556,40,60,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Constant.java,30,60,29,1,4,31,15.0,31,27,7.75,0,2,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java,243,244,1,2,4,233,61.0,243,233,60.75,0,26,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/QueryResultMapping.java,606,608,2,1,3,608,202.66666666666666,610,608,203.33333333333334,31,75,No
0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/NotExpression.java,54,103,48,2,5,49,20.6,55,45,11.0,0,3,No
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/FileMetaDataIterator.java,159,226,67,2,8,152,28.25,195,152,24.375,11,18,No
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/ConcurrentHashSet.java,107,137,30,1,5,109,27.4,123,109,24.6,2,19,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Join.java,189,191,1,2,3,151,63.666666666666664,190,151,63.333333333333336,1,32,No
0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/Dependent.java,35,69,34,1,4,35,17.25,35,32,8.75,0,1,No
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java,534,537,3,1,3,536,179.0,538,536,179.33333333333334,30,58,No
0,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClasspathMetaDataIterator.java,76,118,42,1,5,83,23.6,102,83,20.4,4,4,No
